method,seed,episode,day,raw_dscr,dscr
TD3,739,86,94,4.531576967790468,2.265788483895234
TD3,739,86,95,4.1033311742142535,2.0516655871071268
TD3,739,86,96,2.2352040861903486,1.1176020430951743
TD3,739,86,97,44.98313192346424,22.49156596173212
TD3,739,86,98,107.38742677275509,53.693713386377546
TD3,739,86,99,106.28462906093424,53.14231453046712
TD3,739,87,6,13.211218568665373,6.605609284332687
TD3,739,87,7,127.93013100436681,63.96506550218341
TD3,739,87,8,21.295414012738853,10.647707006369426
TD3,739,87,9,9.995242791669085,4.997621395834543
TD3,739,87,10,5.031996587030717,2.5159982935153584
TD3,739,87,11,2.361213516545966,1.180606758272983
TD3,739,87,12,4.48913176660867,2.244565883304335
TD3,739,87,13,7.372391901830991,3.6861959509154953
TD3,739,87,14,5.729639799709257,2.8648198998546284
TD3,739,87,15,4.2045686049283715,2.1022843024641857
TD3,739,87,16,4.687014973282226,2.343507486641113
TD3,739,87,17,4.021349015114496,2.010674507557248
TD3,739,87,18,3.424315148677125,1.7121575743385624
TD3,739,87,19,5.34448368194342,2.67224184097171
TD3,739,87,20,5.744903230934309,2.8724516154671544
TD3,739,87,21,4.452444922084901,2.2262224610424504
TD3,739,87,22,4.1597193646613455,2.0798596823306728
TD3,739,87,23,4.293380080817684,2.146690040408842
TD3,739,87,24,4.4916657064946035,2.2458328532473018
TD3,739,87,25,5.155447714464621,2.5777238572323107
TD3,739,87,26,5.505683622888492,2.752841811444246
TD3,739,87,27,5.321509952416057,2.6607549762080285
TD3,739,87,28,5.5898602743238035,2.7949301371619018
TD3,739,87,29,4.9581490258030545,2.4790745129015272
TD3,739,87,30,4.508843028451483,2.2544215142257413
TD3,739,87,31,5.403210854283697,2.7016054271418484
TD3,739,87,32,4.951653403127449,2.4758267015637245
TD3,739,87,33,6.148435320030633,3.0742176600153166
TD3,739,87,34,4.142323371192345,2.0711616855961723
TD3,739,87,35,118.44999999999999,59.224999999999994
TD3,739,87,36,3.170791000234718,1.585395500117359
TD3,739,87,37,152.46717687074835,76.23358843537417
TD3,739,87,38,2.120049588034426,1.060024794017213
TD3,739,87,39,279.5119348497613,139.75596742488065
TD3,739,87,40,23.248964497041417,11.624482248520708
TD3,739,87,41,2.7850729103242986,1.3925364551621493
TD3,739,87,42,137.69721787305792,68.84860893652896
TD3,739,87,43,143.40349504434008,71.70174752217004
TD3,739,87,44,2.155993185205096,1.077996592602548
TD3,739,87,45,243.54771241830068,121.77385620915034
TD3,739,87,46,2.6777962453664954,1.3388981226832477
TD3,739,87,47,173.55922795509017,86.77961397754508
TD3,739,87,48,167.58527760449158,83.79263880224579
TD3,739,87,49,160.44283555779398,80.22141777889699
TD3,739,87,50,2.21716030660353,1.108580153301765
TD3,739,87,51,1.4192724267852403,0.7096362133926202
TD3,739,87,52,163.1539113244846,81.5769556622423
TD3,739,87,53,184.68735942420153,92.34367971210077
TD3,739,87,54,148.18678317859096,74.09339158929548
TD3,739,87,55,144.3451630336876,72.1725815168438
TD3,739,87,56,2.275495786445981,1.1377478932229905
TD3,739,87,57,4.912633812376744,2.456316906188372
TD3,739,87,58,3.7524131071293483,1.8762065535646741
TD3,739,87,59,97.23151171043294,48.61575585521647
TD3,739,87,60,95.4834226147387,47.74171130736935
TD3,739,87,61,1.670633174673013,0.8353165873365065
TD3,739,87,62,99.56981727949467,49.784908639747336
TD3,739,87,63,9.473280513400953,4.736640256700476
TD3,739,87,64,23.517310178159953,11.758655089079976
TD3,739,87,65,30.228151647383804,15.114075823691902
TD3,739,87,66,2.264170503585093,1.1320852517925466
TD3,739,87,67,2.2354749494734603,1.1177374747367301
TD3,739,87,68,38.45126510738198,19.22563255369099
TD3,739,87,69,65.42551203736976,32.71275601868488
TD3,739,87,70,93.16619452313503,46.58309726156752
TD3,739,87,71,2.4309240298387618,1.2154620149193809
TD3,739,87,72,40.73462235649547,20.367311178247736
TD3,739,87,73,2.1063559150786273,1.0531779575393136
TD3,739,87,74,111.96731729459826,55.98365864729913
TD3,739,87,75,77.12279859109833,38.561399295549165
TD3,739,87,76,2.2269157751858777,1.1134578875929388
TD3,739,87,77,143.81329853001785,71.90664926500892
TD3,739,87,78,20.248570501642405,10.124285250821202
TD3,739,87,79,2.231182429176256,1.115591214588128
TD3,739,87,80,105.68279676081374,52.84139838040687
TD3,739,87,81,2.2389175233525394,1.1194587616762697
TD3,739,87,82,150.29961636828645,75.14980818414323
TD3,739,87,83,107.30737551478848,53.65368775739424
TD3,739,87,84,35.055824061760035,17.527912030880017
TD3,739,87,85,2.5851668299429496,1.2925834149714748
TD3,739,87,86,1.6673782321106432,0.8336891160553216
TD3,739,87,87,118.18068833652008,59.09034416826004
TD3,739,87,88,134.69437652811737,67.34718826405869
TD3,739,87,89,82.01591328413284,41.00795664206642
TD3,739,87,90,4.042773149386058,2.021386574693029
TD3,739,87,91,2.435720996308059,1.2178604981540295
TD3,739,87,92,18.216951869276777,9.108475934638388
TD3,739,87,93,6.715592703450612,3.357796351725306
TD3,739,87,94,4.531576967790468,2.265788483895234
TD3,739,87,95,4.1033311742142535,2.0516655871071268
TD3,739,87,96,2.2352040861903486,1.1176020430951743
TD3,739,87,97,44.98313192346424,22.49156596173212
TD3,739,87,98,107.38742677275509,53.693713386377546
TD3,739,87,99,106.28462906093424,53.14231453046712
TD3,739,88,6,13.211218568665373,6.605609284332687
TD3,739,88,7,127.93013100436681,63.96506550218341
TD3,739,88,8,21.295414012738853,10.647707006369426
TD3,739,88,9,9.995242791669085,4.997621395834543
TD3,739,88,10,5.031996587030717,2.5159982935153584
TD3,739,88,11,2.361213516545966,1.180606758272983
TD3,739,88,12,4.48913176660867,2.244565883304335
TD3,739,88,13,7.372391901830991,3.6861959509154953
TD3,739,88,14,5.729639799709257,2.8648198998546284
TD3,739,88,15,4.2045686049283715,2.1022843024641857
TD3,739,88,16,4.687014973282226,2.343507486641113
TD3,739,88,17,4.021349015114496,2.010674507557248
TD3,739,88,18,3.424315148677125,1.7121575743385624
TD3,739,88,19,5.34448368194342,2.67224184097171
TD3,739,88,20,5.744903230934309,2.8724516154671544
TD3,739,88,21,4.452444922084901,2.2262224610424504
TD3,739,88,22,4.1597193646613455,2.0798596823306728
TD3,739,88,23,4.293380080817684,2.146690040408842
TD3,739,88,24,4.4916657064946035,2.2458328532473018
TD3,739,88,25,5.155447714464621,2.5777238572323107
TD3,739,88,26,5.505683622888492,2.752841811444246
TD3,739,88,27,5.321509952416057,2.6607549762080285
TD3,739,88,28,5.5898602743238035,2.7949301371619018
TD3,739,88,29,4.9581490258030545,2.4790745129015272
TD3,739,88,30,4.508843028451483,2.2544215142257413
TD3,739,88,31,5.403210854283697,2.7016054271418484
TD3,739,88,32,4.951653403127449,2.4758267015637245
TD3,739,88,33,6.148435320030633,3.0742176600153166
TD3,739,88,34,4.142323371192345,2.0711616855961723
TD3,739,88,35,118.44999999999999,59.224999999999994
TD3,739,88,36,3.170791000234718,1.585395500117359
TD3,739,88,37,152.46717687074835,76.23358843537417
TD3,739,88,38,2.120049588034426,1.060024794017213
TD3,739,88,39,279.5119348497613,139.75596742488065
TD3,739,88,40,23.248964497041417,11.624482248520708
TD3,739,88,41,2.7850729103242986,1.3925364551621493
TD3,739,88,42,137.69721787305792,68.84860893652896
TD3,739,88,43,143.40349504434008,71.70174752217004
TD3,739,88,44,2.155993185205096,1.077996592602548
TD3,739,88,45,243.54771241830068,121.77385620915034
TD3,739,88,46,2.6777962453664954,1.3388981226832477
TD3,739,88,47,173.55922795509017,86.77961397754508
TD3,739,88,48,167.58527760449158,83.79263880224579
TD3,739,88,49,160.44283555779398,80.22141777889699
TD3,739,88,50,2.21716030660353,1.108580153301765
TD3,739,88,51,1.4192724267852403,0.7096362133926202
TD3,739,88,52,163.1539113244846,81.5769556622423
TD3,739,88,53,184.68735942420153,92.34367971210077
TD3,739,88,54,148.18678317859096,74.09339158929548
TD3,739,88,55,144.3451630336876,72.1725815168438
TD3,739,88,56,2.275495786445981,1.1377478932229905
TD3,739,88,57,4.912633812376744,2.456316906188372
TD3,739,88,58,3.7524131071293483,1.8762065535646741
TD3,739,88,59,97.23151171043294,48.61575585521647
TD3,739,88,60,95.4834226147387,47.74171130736935
TD3,739,88,61,1.670633174673013,0.8353165873365065
TD3,739,88,62,99.56981727949467,49.784908639747336
TD3,739,88,63,9.473280513400953,4.736640256700476
TD3,739,88,64,23.517310178159953,11.758655089079976
TD3,739,88,65,30.228151647383804,15.114075823691902
TD3,739,88,66,2.264170503585093,1.1320852517925466
TD3,739,88,67,2.2354749494734603,1.1177374747367301
TD3,739,88,68,38.45126510738198,19.22563255369099
TD3,739,88,69,65.42551203736976,32.71275601868488
TD3,739,88,70,93.16619452313503,46.58309726156752
TD3,739,88,71,2.4309240298387618,1.2154620149193809
TD3,739,88,72,40.73462235649547,20.367311178247736
TD3,739,88,73,2.1063559150786273,1.0531779575393136
TD3,739,88,74,111.96731729459826,55.98365864729913
TD3,739,88,75,77.12279859109833,38.561399295549165
TD3,739,88,76,2.2269157751858777,1.1134578875929388
TD3,739,88,77,143.81329853001785,71.90664926500892
TD3,739,88,78,20.248570501642405,10.124285250821202
TD3,739,88,79,2.231182429176256,1.115591214588128
TD3,739,88,80,105.68279676081374,52.84139838040687
TD3,739,88,81,2.2389175233525394,1.1194587616762697
TD3,739,88,82,150.29961636828645,75.14980818414323
TD3,739,88,83,107.30737551478848,53.65368775739424
TD3,739,88,84,35.055824061760035,17.527912030880017
TD3,739,88,85,2.5851668299429496,1.2925834149714748
TD3,739,88,86,1.6673782321106432,0.8336891160553216
TD3,739,88,87,118.18068833652008,59.09034416826004
TD3,739,88,88,134.69437652811737,67.34718826405869
TD3,739,88,89,82.01591328413284,41.00795664206642
TD3,739,88,90,4.042773149386058,2.021386574693029
TD3,739,88,91,2.435720996308059,1.2178604981540295
TD3,739,88,92,18.216951869276777,9.108475934638388
TD3,739,88,93,6.715592703450612,3.357796351725306
TD3,739,88,94,4.531576967790468,2.265788483895234
TD3,739,88,95,4.1033311742142535,2.0516655871071268
TD3,739,88,96,2.2352040861903486,1.1176020430951743
TD3,739,88,97,44.98313192346424,22.49156596173212
TD3,739,88,98,107.38742677275509,53.693713386377546
TD3,739,88,99,106.28462906093424,53.14231453046712
TD3,739,89,6,13.211218568665373,6.605609284332687
TD3,739,89,7,127.93013100436681,63.96506550218341
TD3,739,89,8,21.295414012738853,10.647707006369426
TD3,739,89,9,9.995242791669085,4.997621395834543
TD3,739,89,10,5.031996587030717,2.5159982935153584
TD3,739,89,11,2.361213516545966,1.180606758272983
TD3,739,89,12,4.48913176660867,2.244565883304335
TD3,739,89,13,7.372391901830991,3.6861959509154953
TD3,739,89,14,5.729639799709257,2.8648198998546284
TD3,739,89,15,4.2045686049283715,2.1022843024641857
TD3,739,89,16,4.687014973282226,2.343507486641113
TD3,739,89,17,4.021349015114496,2.010674507557248
TD3,739,89,18,3.424315148677125,1.7121575743385624
TD3,739,89,19,5.34448368194342,2.67224184097171
TD3,739,89,20,5.744903230934309,2.8724516154671544
TD3,739,89,21,4.452444922084901,2.2262224610424504
TD3,739,89,22,4.1597193646613455,2.0798596823306728
TD3,739,89,23,4.293380080817684,2.146690040408842
TD3,739,89,24,4.4916657064946035,2.2458328532473018
TD3,739,89,25,5.155447714464621,2.5777238572323107
TD3,739,89,26,5.505683622888492,2.752841811444246
TD3,739,89,27,5.321509952416057,2.6607549762080285
TD3,739,89,28,5.5898602743238035,2.7949301371619018
TD3,739,89,29,4.9581490258030545,2.4790745129015272
TD3,739,89,30,4.508843028451483,2.2544215142257413
TD3,739,89,31,5.403210854283697,2.7016054271418484
TD3,739,89,32,4.951653403127449,2.4758267015637245
TD3,739,89,33,6.148435320030633,3.0742176600153166
TD3,739,89,34,4.142323371192345,2.0711616855961723
TD3,739,89,35,118.44999999999999,59.224999999999994
TD3,739,89,36,3.170791000234718,1.585395500117359
TD3,739,89,37,152.46717687074835,76.23358843537417
TD3,739,89,38,2.120049588034426,1.060024794017213
TD3,739,89,39,279.5119348497613,139.75596742488065
TD3,739,89,40,23.248964497041417,11.624482248520708
TD3,739,89,41,2.7850729103242986,1.3925364551621493
TD3,739,89,42,137.69721787305792,68.84860893652896
TD3,739,89,43,143.40349504434008,71.70174752217004
TD3,739,89,44,2.155993185205096,1.077996592602548
TD3,739,89,45,243.54771241830068,121.77385620915034
TD3,739,89,46,2.6777962453664954,1.3388981226832477
TD3,739,89,47,173.55922795509017,86.77961397754508
TD3,739,89,48,167.58527760449158,83.79263880224579
TD3,739,89,49,160.44283555779398,80.22141777889699
TD3,739,89,50,2.21716030660353,1.108580153301765
TD3,739,89,51,1.4192724267852403,0.7096362133926202
TD3,739,89,52,163.1539113244846,81.5769556622423
TD3,739,89,53,184.68735942420153,92.34367971210077
TD3,739,89,54,148.18678317859096,74.09339158929548
TD3,739,89,55,144.3451630336876,72.1725815168438
TD3,739,89,56,2.275495786445981,1.1377478932229905
TD3,739,89,57,4.912633812376744,2.456316906188372
TD3,739,89,58,3.7524131071293483,1.8762065535646741
TD3,739,89,59,97.23151171043294,48.61575585521647
TD3,739,89,60,95.4834226147387,47.74171130736935
TD3,739,89,61,1.670633174673013,0.8353165873365065
TD3,739,89,62,99.56981727949467,49.784908639747336
TD3,739,89,63,9.473280513400953,4.736640256700476
TD3,739,89,64,23.517310178159953,11.758655089079976
TD3,739,89,65,30.228151647383804,15.114075823691902
TD3,739,89,66,2.264170503585093,1.1320852517925466
TD3,739,89,67,2.2354749494734603,1.1177374747367301
TD3,739,89,68,38.45126510738198,19.22563255369099
TD3,739,89,69,65.42551203736976,32.71275601868488
TD3,739,89,70,93.16619452313503,46.58309726156752
TD3,739,89,71,2.4309240298387618,1.2154620149193809
TD3,739,89,72,40.73462235649547,20.367311178247736
TD3,739,89,73,2.1063559150786273,1.0531779575393136
TD3,739,89,74,111.96731729459826,55.98365864729913
TD3,739,89,75,77.12279859109833,38.561399295549165
TD3,739,89,76,2.2269157751858777,1.1134578875929388
TD3,739,89,77,143.81329853001785,71.90664926500892
TD3,739,89,78,20.248570501642405,10.124285250821202
TD3,739,89,79,2.231182429176256,1.115591214588128
TD3,739,89,80,105.68279676081374,52.84139838040687
TD3,739,89,81,2.2389175233525394,1.1194587616762697
TD3,739,89,82,150.29961636828645,75.14980818414323
TD3,739,89,83,107.30737551478848,53.65368775739424
TD3,739,89,84,35.055824061760035,17.527912030880017
TD3,739,89,85,2.5851668299429496,1.2925834149714748
TD3,739,89,86,1.6673782321106432,0.8336891160553216
TD3,739,89,87,118.18068833652008,59.09034416826004
TD3,739,89,88,134.69437652811737,67.34718826405869
TD3,739,89,89,82.01591328413284,41.00795664206642
TD3,739,89,90,4.042773149386058,2.021386574693029
TD3,739,89,91,2.435720996308059,1.2178604981540295
TD3,739,89,92,18.216951869276777,9.108475934638388
TD3,739,89,93,6.715592703450612,3.357796351725306
TD3,739,89,94,4.531576967790468,2.265788483895234
TD3,739,89,95,4.1033311742142535,2.0516655871071268
TD3,739,89,96,2.2352040861903486,1.1176020430951743
TD3,739,89,97,44.98313192346424,22.49156596173212
TD3,739,89,98,107.38742677275509,53.693713386377546
TD3,739,89,99,106.28462906093424,53.14231453046712
TD3,739,90,6,13.211218568665373,6.605609284332687
TD3,739,90,7,127.93013100436681,63.96506550218341
TD3,739,90,8,21.295414012738853,10.647707006369426
TD3,739,90,9,9.995242791669085,4.997621395834543
TD3,739,90,10,5.031996587030717,2.5159982935153584
TD3,739,90,11,2.361213516545966,1.180606758272983
TD3,739,90,12,4.48913176660867,2.244565883304335
TD3,739,90,13,7.372391901830991,3.6861959509154953
TD3,739,90,14,5.729639799709257,2.8648198998546284
TD3,739,90,15,4.2045686049283715,2.1022843024641857
TD3,739,90,16,4.687014973282226,2.343507486641113
TD3,739,90,17,4.021349015114496,2.010674507557248
TD3,739,90,18,3.424315148677125,1.7121575743385624
TD3,739,90,19,5.34448368194342,2.67224184097171
TD3,739,90,20,5.744903230934309,2.8724516154671544
TD3,739,90,21,4.452444922084901,2.2262224610424504
TD3,739,90,22,4.1597193646613455,2.0798596823306728
TD3,739,90,23,4.293380080817684,2.146690040408842
TD3,739,90,24,4.4916657064946035,2.2458328532473018
TD3,739,90,25,5.155447714464621,2.5777238572323107
TD3,739,90,26,5.505683622888492,2.752841811444246
TD3,739,90,27,5.321509952416057,2.6607549762080285
TD3,739,90,28,5.5898602743238035,2.7949301371619018
TD3,739,90,29,4.9581490258030545,2.4790745129015272
TD3,739,90,30,4.508843028451483,2.2544215142257413
TD3,739,90,31,5.403210854283697,2.7016054271418484
TD3,739,90,32,4.951653403127449,2.4758267015637245
TD3,739,90,33,6.148435320030633,3.0742176600153166
TD3,739,90,34,4.142323371192345,2.0711616855961723
TD3,739,90,35,118.44999999999999,59.224999999999994
TD3,739,90,36,3.170791000234718,1.585395500117359
TD3,739,90,37,152.46717687074835,76.23358843537417
TD3,739,90,38,2.120049588034426,1.060024794017213
TD3,739,90,39,279.5119348497613,139.75596742488065
TD3,739,90,40,23.248964497041417,11.624482248520708
TD3,739,90,41,2.7850729103242986,1.3925364551621493
TD3,739,90,42,137.69721787305792,68.84860893652896
TD3,739,90,43,143.40349504434008,71.70174752217004
TD3,739,90,44,2.155993185205096,1.077996592602548
TD3,739,90,45,243.54771241830068,121.77385620915034
TD3,739,90,46,2.6777962453664954,1.3388981226832477
TD3,739,90,47,173.55922795509017,86.77961397754508
TD3,739,90,48,167.58527760449158,83.79263880224579
TD3,739,90,49,160.44283555779398,80.22141777889699
TD3,739,90,50,2.21716030660353,1.108580153301765
TD3,739,90,51,1.4192724267852403,0.7096362133926202
TD3,739,90,52,163.1539113244846,81.5769556622423
TD3,739,90,53,184.68735942420153,92.34367971210077
TD3,739,90,54,148.18678317859096,74.09339158929548
TD3,739,90,55,144.3451630336876,72.1725815168438
TD3,739,90,56,2.275495786445981,1.1377478932229905
TD3,739,90,57,4.912633812376744,2.456316906188372
TD3,739,90,58,3.7524131071293483,1.8762065535646741
TD3,739,90,59,97.23151171043294,48.61575585521647
TD3,739,90,60,95.4834226147387,47.74171130736935
TD3,739,90,61,1.670633174673013,0.8353165873365065
TD3,739,90,62,99.56981727949467,49.784908639747336
TD3,739,90,63,9.473280513400953,4.736640256700476
TD3,739,90,64,23.517310178159953,11.758655089079976
TD3,739,90,65,30.228151647383804,15.114075823691902
TD3,739,90,66,2.264170503585093,1.1320852517925466
TD3,739,90,67,2.2354749494734603,1.1177374747367301
TD3,739,90,68,38.45126510738198,19.22563255369099
TD3,739,90,69,65.42551203736976,32.71275601868488
TD3,739,90,70,93.16619452313503,46.58309726156752
TD3,739,90,71,2.4309240298387618,1.2154620149193809
TD3,739,90,72,40.73462235649547,20.367311178247736
TD3,739,90,73,2.1063559150786273,1.0531779575393136
TD3,739,90,74,111.96731729459826,55.98365864729913
TD3,739,90,75,77.12279859109833,38.561399295549165
TD3,739,90,76,2.2269157751858777,1.1134578875929388
